id	population
1	4830620
2	733375
4	6641928
5	2958208
6	38421464
8	5278906
9	3593222
10	926454
11	647484
12	19645772
13	10006693
15	1406299
16	1616547
17	12873761
18	6568645
19	3093526
20	2892987
21	4397353
22	4625253
23	1329100
24	5930538
25	6705586
26	9900571
27	5419171
28	2988081
29	6045448
30	1014699
31	1869365
32	2798636
33	1324201
34	8904413
35	2084117
36	19673174
37	9845333
38	721640
39	11575977
40	3849733
41	3939233
42	12779559
44	1053661
45	4777576
46	843190
47	6499615
48	26538614
49	2903379
50	626604
51	8256630
53	6985464
54	1851420
55	5742117
56	579679
72	3583073